pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,sy_dist,ra,dec,discoverymethod,disc_year
Kepler-542 b,1.57,3.09,13.14497566,698.0,61.573,5526.0,0.9,0.93,436.016,292.2149697,38.5485469,Transit,2016
HD 62364 b,12.1,5965.63919939,5138.0,,0.072,6255.0,1.401,1.157,53.112,113.9052658,-75.5442707,Radial Velocity,2022
TOI-1749 b,1.39,57.0,2.38839,831.0,83.8379,3985.0,0.55,0.58,99.5561,282.7372281,64.419466,Transit,2021
Kepler-1634 b,3.19,10.3,374.876239,282.0,0.544,5474.0,0.89,0.92,617.339,294.043399,45.1398201,Transit,2016
Kepler-99 b,1.48,6.15,4.60358,810.0,108.042,4782.0,0.73,0.79,208.369,297.3539994,41.3000452,Transit,2014
K2-393 b,2.352,6.13,10.413181,,,5678.0,1.071,0.881,265.914,348.5159113,-0.0821031,Transit,2022
K2-5 c,2.26,5.73,10.93241,456.0,10.2,3930.0,0.57,0.61,202.943,169.3034598,-1.8778254,Transit,2015
HAT-P-11 c,13.2,851.78013076,3361.0,,,4653.0,0.683,0.811,37.7647,297.7101763,48.0818635,Radial Velocity,2018
Kepler-1416 b,0.88,0.615,1.49514952,1870.0,2658.55,6019.0,1.15,1.09,949.59,298.6634624,43.8940593,Transit,2016
Kepler-1701 b,2.22186207,5.57,169.134,273.0,1.3,5146.0,0.840217,0.87,584.142,286.6088625,41.8892986,Transit,2020
Kepler-1578 b,1.04,1.12,1.450886907,1700.0,1486.438,5545.0,0.86,0.9,1064.05,288.3021104,47.7756227,Transit,2016
KOI-55 c,0.867,0.655,0.342887,,,27730.0,0.203,0.496,1231.02,296.3561853,41.0927315,Orbital Brightness Modulation,2011
HD 45364 b,9.03,60.16491745,225.79,,,5466.0,0.89,0.82,34.354,96.4105736,-31.4810037,Radial Velocity,2008
Kepler-1772 b,2.68609988,7.68,3.215090036,1155.0,1485.0,5541.0,0.934,0.942,871.564,289.4381201,39.2703594,Transit,2021
Kepler-1862 b,2.203,5.49,16.05730057,645.0,41.04,5644.0,0.806,0.9,1232.19,296.7533555,49.3780726,Transit,2021
Kepler-990 b,2.6,7.27,9.91723428,903.0,108.3,5948.0,1.08,1.05,802.163,297.9381813,46.8813194,Transit,2016
Kepler-1537 b,1.18,1.76,1.444453798,1800.0,713.168,5079.0,0.77,0.81,517.292,294.3853917,43.8254461,Transit,2016
Kepler-1593 b,3.17,10.2,174.509835,260.0,0.889,4995.0,0.77,0.81,638.249,300.4882018,44.4606698,Transit,2016
Kepler-328 b,2.3,28.5,34.921,602.0,57.079,6064.0,1.06,1.15,2213.19,295.8092756,40.0084866,Transit,2013
Kepler-511 c,4.20964327,16.5,26.62949944,742.0,101.6,5866.0,1.417,0.958,651.999,282.9455384,47.5749181,Transit,2021
K2-198 b,4.189,16.3,17.0428683,715.8,,5212.9,0.757,0.799,110.567,198.8436817,-6.4649888,Transit,2018
Kepler-451 c,13.5,511.70373527,1460.0,,,29564.0,0.203,0.48,396.332,294.6359173,46.0664076,Eclipse Timing Variations,2022
Kepler-369 c,1.41,2.57,14.871572,391.0,4.21,3591.0,0.471,0.5,214.0,293.6743322,47.9084727,Transit,2014
TOI-1777.01,2.246,5.67,14.650111974,580.0,71.34,5859.0,0.98,1.06,79.7665,151.807032,46.1148814,Transit,2024
Kepler-1024 b,3.91,14.5,66.4162133,376.0,5.446,5143.0,0.78,0.81,1087.4,291.9510277,38.2516419,Transit,2016
Kepler-253 c,2.65,7.51,10.281951,680.0,51.273,5208.0,0.786,0.86,838.595,291.8419337,44.858124,Transit,2014
Kepler-171 c,2.56,7.08,11.463462,752.0,78.905,5642.0,0.839,0.978,863.855,296.7719082,41.7555958,Transit,2014
WASP-33 b,17.855937,665.21819,1.21987,2781.7,9392.0471,7430.0,1.444,1.495,121.944,36.7127375,37.5504441,Transit,2010
TOI-4145 A b,13.30506009,136.66621501,4.0664428,1074.0,223.0,5281.0,0.859,0.905,205.387,39.4297435,80.2673838,Transit,2023
Kepler-709 b,2.92,8.85,16.08524954,613.0,28.216,5071.0,0.77,0.8,664.843,292.105272,42.3803077,Transit,2016
TrES-4 b,18.04649,247.9074,3.55395,1778.0,2276.295,6200.0,1.66,1.08,515.98,268.3043361,37.2117397,Transit,2007
Kepler-1987 b,1.23,2.04,2.345863002,997.0,233.38,4769.0,0.714,0.799,595.683,295.8254663,42.9433716,Transit,2023
Kepler-366 b,1.46,2.73,3.281959,1326.0,1873.311,6209.0,1.048,1.088,1856.28,296.8520316,49.0844359,Transit,2014
K2-155 d,1.9,4.27,40.718,381.0,1.67,4258.0,0.58,0.65,72.7998,65.469614,21.3532633,Transit,2018
Kepler-312 c,3.15,10.1,19.747412,754.0,165.824,6115.0,1.467,1.314,797.72,298.3957687,42.4597712,Transit,2014
Kepler-245 e,1.75,1806.36,3.219821056,998.0,240.151,5174.0,0.8,0.86,861.527,291.6389972,42.4363482,Transit,2016
HD 102843 b,13.1,113.9,3090.942,,,5436.0,0.961488,0.95,62.758,177.5854673,-1.2522989,Radial Velocity,2019
Kepler-1066 b,2.36,6.17,1.931559839,1290.0,710.019,5762.0,0.98,0.98,344.251,298.866621,46.5022325,Transit,2016
HD 108874 c,13.8,314.64,1624.0,,,5551.0,1.05,0.95,59.5175,187.6126029,22.8794399,Radial Velocity,2005
Kepler-49 e,1.56,1.03815,18.596108,371.0,6.063,4252.0,0.559,0.549,311.222,292.2945208,40.5918123,Transit,2014
Kepler-52 d,1.95,88.8775,36.445171,332.0,2.945,4263.0,0.556,0.577,321.542,286.7380152,49.9757383,Transit,2014
Kepler-562 b,5.21,23.7,18.009314436,658.0,67.435,5575.0,0.9,0.93,992.769,290.1196007,46.2737393,Transit,2016
Kepler-711 b,3.41,11.5,23.58914398,487.0,15.569,5222.0,0.8,0.84,624.575,297.4600468,42.8398172,Transit,2016
NY Vir c,12.8,1760.7782,8799.0,,,32780.0,0.151,0.459,544.024,204.7005847,-2.0303873,Eclipse Timing Variations,2019
Kepler-1371 c,0.64,0.196,2.00541269,1216.0,853.269,5361.0,0.83,0.87,515.334,288.8314251,47.5519753,Transit,2016
Kepler-538 b,2.215,12.9,81.73778,417.0,5.07,5534.0,0.8717,0.892,155.956,297.4865503,49.6233975,Transit,2016
HD 87883 b,12.7,2005.49724817,3006.0,,,4980.0,0.798557,0.8,18.2912,152.1794175,34.2419984,Radial Velocity,2009
HD 39091 b,12.3,4481.3805387,2088.8,,,5998.0,1.17,1.07,18.2702,84.2992798,-80.4646041,Radial Velocity,2001
HD 98649 b,12.5,3082.9355479,5384.0,,,5759.0,1.01,0.97,42.1727,170.2147665,-23.2181063,Radial Velocity,2012
pi Men c,2.0189,3.63,6.2678399,1169.8,309.0,5998.0,1.17,1.07,18.2702,84.2992798,-80.4646041,Transit,2018
HD 106252 b,12.5,3178.28407,1535.0,,,5874.0,1.05,1.05,38.185,183.3730583,10.0404302,Radial Velocity,2002
HD 171238 b,12.5,2796.8899816,1515.0,,,5467.0,1.01,0.92,44.8113,278.6818389,-28.0727849,Radial Velocity,2009
pi Men d,3.72,13.38,124.64,,,5998.0,1.19,1.07,18.2702,84.2992798,-80.4646041,Radial Velocity,2022
HD 81040 b,12.6,2301.07766668,1002.7,,,5755.0,0.91,0.99,34.4341,140.9455027,20.3646078,Radial Velocity,2005
HAT-P-54 b,10.581296,241.5508,3.799847,818.0,88.6713,4390.0,0.617,0.645,143.651,99.8979924,25.4824005,Transit,2015
VHS J125601.92-125723.9 b,13.67495645,5085.254512,5800000.0,1194.0,,2620.0,,0.07,12.7,194.008964,-12.956031,Imaging,2015
K2-38 b,1.54,7.3,4.01593,1266.0,426.0,5731.0,1.06,1.03,192.69,240.0333095,-23.1894196,Transit,2016
K2-38 c,2.29,8.3,10.56103,916.0,117.0,5731.0,1.06,1.03,192.69,240.0333095,-23.1894196,Transit,2016
HD 29021 b,12.9,1420.69297929,1365.0,,,5560.0,0.85,0.86,30.9939,69.4681379,60.6762985,Radial Velocity,2017
Wolf 503 b,2.043,6.26,6.00127,790.0,69.6,4716.0,0.689,0.688,44.526,206.8461979,-6.1393369,Transit,2018
LTT 1445 A b,1.34,2.73,5.3587635,431.0,5.7,3562.0,0.271,0.257,6.86929,45.4624781,-16.5944956,Transit,2019
LTT 1445 A c,1.147,1.54,3.1239035,508.0,10.9,3340.0,0.265,0.257,6.86929,45.4624781,-16.5944956,Transit,2022
TOI-4773 b,15.22179579,1687.66884117,1.7452851,2255.0,3879.8071,6740.0,1.55,1.452,492.888,114.9426489,-21.4856184,Transit,2025
TOI-5261 b,11.60129502,3651.84839643,4.1509768,1244.0,159.592,5790.0,1.021,1.037,377.054,305.4585453,19.4358468,Transit,2025
TOI-5350 b,12.41955062,2094.48920213,7.581367,1195.0,321.879,6220.0,1.263,1.167,277.419,74.4023015,21.6019759,Transit,2025
TOI-6420 b,11.93756445,2606.1929374,6.961508,1213.0,106.619,6020.0,1.312,1.165,634.712,125.5443036,-19.1242852,Transit,2025
WASP-39 b,14.336311,89.31023,4.0552941,1166.0,316.312,5485.0,0.939,0.913,213.982,217.3266477,-3.4444994,Transit,2011
Kepler-108 c,8.18,50.9,190.323494,426.0,7.8,5854.0,2.192,1.247,338.732,294.5589885,46.0623952,Transit,2014
Kepler-392 b,1.0,0.972,5.341853,1125.0,450.654,5938.0,1.129,0.874,681.428,288.660826,43.3681938,Transit,2014
Kepler-946 b,1.93,4.38,11.79162572,857.0,124.072,5665.0,0.93,0.94,1137.29,300.9295551,44.028671,Transit,2016
Kepler-296 d,2.09,5.02,19.850291,403.0,2.9,3740.0,0.48,0.498,167.0,286.5400278,49.4372614,Transit,2014
Kepler-336 c,2.1,5.06,9.600001,967.0,206.91,5867.0,1.304,1.09,768.86,290.2376224,41.3313637,Transit,2014
